date,close
2024-01-15,1545.23
2024-01-16,1512.45
2024-01-17,1498.67
2024-01-18,1523.89
2024-01-19,1556.34
2024-01-22,1578.92
2024-01-23,1534.56
2024-01-24,1487.23
2024-01-25,1505.78
2024-01-26,1532.45
2024-01-29,1528.90
2024-01-30,1542.67
2024-01-31,1558.23
2024-02-01,1571.45
2024-02-02,1585.67
2024-02-05,1598.34
2024-02-06,1625.78
2024-02-07,1642.56
2024-02-08,1658.23
2024-02-09,1671.45
2024-02-12,1689.67
2024-02-13,1705.89
2024-02-14,1698.45
2024-02-15,1692.23
2024-02-16,1708.56
2024-02-19,1723.78
2024-02-20,1715.34
2024-02-21,1728.90
2024-02-22,1742.45
2024-02-23,1756.67
2024-02-26,1768.23
2024-02-27,1782.56
2024-02-28,1795.89
2024-02-29,1809.34
2024-03-01,1821.67
2024-03-04,1835.23
2024-03-05,1848.56
2024-03-06,1862.89
2024-03-07,1875.34
2024-03-08,1889.67
2024-03-11,1902.23
2024-03-12,1915.56
2024-03-13,1928.89
2024-03-14,1941.34
2024-03-15,1938.67
2024-03-18,1952.23
2024-03-19,1945.56
2024-03-20,1958.89
2024-03-21,1971.34
2024-03-22,1983.67
2024-03-25,1976.23
2024-03-26,1989.56
2024-03-27,2002.89
2024-03-28,2015.34
2024-03-29,2028.67
2024-04-01,2041.23
2024-04-02,2054.56
2024-04-03,2067.89
2024-04-04,2080.34
2024-04-05,2093.67
2024-04-08,2106.23
2024-04-09,2119.56
2024-04-10,2132.89
2024-04-11,2145.34
2024-04-12,2158.67
2024-04-15,2171.23
2024-04-16,2184.56
2024-04-17,2197.89
2024-04-18,2210.34
2024-04-19,2223.67
2024-04-22,2236.23
2024-04-23,2249.56
2024-04-24,2262.89
2024-04-25,2275.34
2024-04-26,2288.67
2024-04-29,2301.23
2024-04-30,2314.56
2024-05-01,2327.89
2024-05-02,2340.34
2024-05-03,2353.67
